date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,co,hcnm,hct,no,no2,nox,o3,pm10,pm2.5,so2
2011-09-17,3.10571428571429,230.428571428571,74.8857142857143,NA,275.657142857143,25.1114285714286,28.3,20.3,0,NA,NA,NA,NA,NA,NA,2.12,18.75,21.17,NA,18.5,NA,NA
2011-09-18,2.26666666666667,188.25,86.2083333333333,NA,80.1041666666667,20.1583333333333,24.2,16.2,11.6,NA,NA,NA,NA,NA,NA,4.33,19.67,25.83,NA,19.42,NA,NA
2011-09-19,3.3,236.041666666667,57.0208333333333,NA,240.354166666667,19.0145833333333,25.2,14.8,0,NA,NA,NA,NA,NA,NA,2.92,24.67,28.88,NA,24.46,NA,NA
2011-09-20,2.78125,270.416666666667,68.2083333333333,NA,225.645833333333,19.94375,24.6,16,0,NA,NA,NA,NA,NA,NA,9.04,33.75,47,NA,30.17,NA,NA
2011-09-21,3.2125,264.479166666667,77.2083333333333,NA,232.708333333333,20.7375,26.2,15.2,0,NA,NA,NA,NA,NA,NA,9.58,35.67,49.67,NA,29.29,NA,NA
2011-09-22,2.62083333333333,261.708333333333,80.375,NA,222.208333333333,21.71875,26.7,17.6,0,NA,NA,NA,NA,NA,NA,9.88,38,52.88,NA,29.38,NA,NA
2011-09-23,2.8375,263.875,80.7083333333333,NA,214.625,21.6833333333333,26.7,17.2,0,NA,NA,NA,NA,NA,NA,2.79,25.21,28.62,NA,16.12,NA,NA
2011-09-24,1.64583333333333,221.979166666667,84.2291666666667,NA,55.0625,20.3083333333333,23,17.8,7.1,NA,NA,NA,NA,NA,NA,7.92,37.88,48.88,NA,17.25,NA,NA
2011-09-25,2.2,237.5,77.625,NA,221.854166666667,20.2541666666667,25.2,16.2,0,NA,NA,NA,NA,NA,NA,22.5,56.58,90.5,NA,26.5,NA,NA
2011-09-26,2.13333333333333,237.604166666667,75.7916666666667,NA,212.208333333333,21.0083333333333,26.7,16.6,0,NA,NA,NA,NA,NA,NA,24,69.04,105.17,NA,34.71,NA,NA
2011-09-27,2.36041666666667,243.916666666667,69.3958333333333,NA,215.0625,22.0145833333333,28.6,17,0,NA,NA,NA,NA,NA,NA,19.38,61.79,91.17,NA,35.21,NA,NA
2011-09-28,2.47291666666667,234.833333333333,66,NA,210.875,21.4520833333333,27.3,17,0,NA,NA,NA,NA,NA,NA,11.5,44.33,61.21,NA,45.46,NA,NA
2011-09-29,3.36041666666667,200.395833333333,69.5416666666667,NA,205.375,21.2708333333333,27.1,16,0,NA,NA,NA,NA,NA,NA,14.12,37.79,59.08,NA,46.29,NA,NA
2011-09-30,2.93333333333333,200.645833333333,74.3125,NA,191.5,20.7666666666667,25.4,15.6,0,NA,NA,NA,NA,NA,NA,3.25,29,33.38,NA,37.71,NA,NA
2011-10-01,2.78958333333333,218.875,76.6666666666667,NA,186.770833333333,20.53125,25.4,16.3,0,NA,NA,NA,NA,NA,NA,2.04,31.08,33.83,NA,34.71,NA,NA
2011-10-02,3.3,274.604166666667,73.9166666666667,NA,210.770833333333,20.2229166666667,26.3,15.6,0,258,95693,2.69612197339408,NA,NA,NA,36.38,75.21,130.17,NA,48.25,NA,NA
2011-10-03,2.66458333333333,256.041666666667,59.8125,NA,203.666666666667,21.5270833333333,29.6,16.3,0,281,116841,2.40497770474405,NA,NA,NA,39.25,83.15,142.6,NA,49.54,NA,NA
2011-10-04,2.9125,268.229166666667,61.8333333333333,NA,200.770833333333,21.0354166666667,28.9,15.8,0,220,95897,2.29412807491371,NA,NA,NA,9.53,54.47,68.47,NA,49.2,NA,NA
2011-10-05,3.19166666666667,241.145833333333,61.625,NA,201.5625,21.5791666666667,28.7,15.8,0,203,90966,2.23160301651166,NA,NA,NA,7.79,42.92,54.25,NA,42.04,NA,NA
2011-10-06,2.31875,262.375,78.1875,NA,185.479166666667,21.0979166666667,27,17,0,190,82546,2.30174690475614,NA,NA,NA,2.71,30.08,33.88,NA,39.08,NA,NA
2011-10-07,3.12916666666667,226.770833333333,71.8541666666667,NA,118.5,20.0479166666667,23.9,16.9,0,104,53192,1.95518123026019,NA,NA,NA,1.71,21.21,23.62,NA,25.67,NA,NA
2011-10-08,2.91041666666667,231.25,56.2916666666667,NA,185.958333333333,18.3708333333333,23.6,12.8,0,57,30377,1.87641965961089,NA,NA,NA,2.38,22.17,25.33,NA,27.21,NA,NA
2011-10-09,2.67916666666667,282.979166666667,59.7291666666667,NA,195.791666666667,18.36875,24.8,14.4,0,331,137797,2.40208422534598,NA,NA,NA,14.88,42.33,64.5,NA,40.62,NA,NA
2011-10-10,3.63125,270.395833333333,58.2083333333333,NA,193.229166666667,21.3229166666667,28.3,15.7,0,181,68310,2.64968525838091,NA,NA,NA,55.62,63.54,148.33,NA,53.12,NA,NA
2011-10-11,2.99166666666667,274.6875,55.6041666666667,NA,190.625,21.6270833333333,28.5,17,0,54,36455,1.48127828830064,NA,NA,NA,36.12,59.46,114.21,NA,47.17,NA,NA
2011-10-12,3.08333333333333,273.375,57.2291666666667,NA,189.916666666667,21.6020833333333,29.6,16.5,0,207,88436,2.34067574291013,NA,NA,NA,22.17,47.75,81.08,NA,34.12,NA,NA
2011-10-13,2.48125,209.979166666667,69.7916666666667,NA,160.3125,20.8833333333333,26.5,16.2,0,188,79739,2.3576919700523,NA,NA,NA,10.17,33.08,48.17,NA,24.83,NA,NA
2011-10-14,2.36458333333333,208.3125,66.7291666666667,NA,164.270833333333,20.0020833333333,24.9,16,0,71,44505,1.59532636782384,NA,NA,NA,1.38,17.96,19.62,NA,26.46,NA,NA
2011-10-15,2.59791666666667,197.354166666667,65.6666666666667,NA,143.75,18.38125,22.5,13.2,0,51,25756,1.98012113682249,NA,NA,NA,3.62,29.83,34.92,NA,32.58,NA,NA
2011-10-16,2.23125,267.729166666667,69.125,NA,156.4375,18.45625,23.5,13.8,0,288,122869,2.34395982713296,NA,NA,NA,3.46,37.25,41.96,NA,33.38,NA,NA
2011-10-17,2.2875,263.666666666667,78.7083333333333,NA,97.2916666666667,17.73125,23.5,14.2,0.3,192,88265,2.17526765988784,NA,NA,NA,3.29,30.67,35.08,NA,28.04,NA,NA
2011-10-18,3.32083333333333,277.125,75.2083333333333,NA,172.458333333333,17.84375,24.3,13.5,0,188,87797,2.14130323359568,NA,NA,NA,6.08,27.83,36.46,NA,27.92,NA,NA
2011-10-19,3.78958333333333,243.729166666667,74.5416666666667,NA,156.0625,18.3604166666667,23.4,13.4,0.1,175,78766,2.22177081481858,NA,NA,NA,12.17,36.21,54.58,NA,24.38,NA,NA
2011-10-20,2.55416666666667,252.583333333333,65.2083333333333,NA,103.208333333333,15.3666666666667,20.3,10.8,0,211,102133,2.06593363555364,NA,NA,NA,7.54,37.58,48.75,NA,27.29,NA,NA
2011-10-21,2.73958333333333,213.416666666667,63.1875,NA,66.7291666666667,14.4229166666667,17.8,9.7,0,54,38236,1.41228161941626,NA,NA,NA,7.17,26.5,36.79,NA,18.54,NA,NA
2011-10-22,2.22708333333333,192.270833333333,75.8333333333333,NA,101.375,16.5875,20.8,12.8,0,70,35240,1.98637911464245,NA,NA,NA,15.12,44.96,67.83,NA,19.08,NA,NA
2011-10-23,2.12708333333333,299.979166666667,86.625,NA,51.3333333333333,15.5833333333333,19.5,13.1,3.6,213,102403,2.08001718699647,NA,NA,NA,16.38,54.21,78.83,NA,20.71,NA,NA
2011-10-24,1.82916666666667,232.145833333333,92.5833333333333,NA,64.5208333333333,16.6145833333333,20.8,14.2,46.4,216,90382,2.38985638733376,NA,NA,NA,3.46,28.12,32.88,NA,13.38,NA,NA
2011-10-25,3.07083333333333,307.1875,63.7708333333333,NA,164.375,16.4395833333333,21.2,11.3,0.3,213,88799,2.39867566076195,NA,NA,NA,25.5,45.68,84.18,NA,20.62,NA,NA
2011-10-26,2.68541666666667,279.104166666667,62.0625,NA,149.791666666667,14.5979166666667,20.8,9,0,174,78347,2.22088912147242,NA,NA,NA,47.83,67.96,140.75,NA,31.46,NA,NA
