date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,h2s,hcnm,hct,no,no2,nox,o3,pm10,pm2.5,so2,casos_total,poblacio_total,incidencia_1000
2012-01-01,1.3,214.7,64,1019.1,100.8,14.1,16.7,11.8,0,1.69,NA,NA,19.91,31.57,60.61,NA,NA,NA,1.39,10,8560,1.1682242990654206
2012-01-02,3,253.6,52.4,1017.2,97.2,14.1,17.2,11.3,0,1.63,NA,NA,13.22,30.74,50.35,NA,NA,NA,1,82,48361,1.6955811501002875
2012-01-03,1.8,289.9,52.5,1025,94.2,11.9,15.2,9.1,0,2.09,NA,NA,54.09,51.52,132.74,NA,NA,NA,2.13,73,37612,1.940869935127087
2012-01-04,2.1,250.4,62.8,1023.8,90.8,12.3,17.3,8.9,0,2.78,NA,NA,53,51.87,131.87,NA,NA,NA,2.96,61,37009,1.6482477235267097
2012-01-05,3.6,273.3,47.6,1016.6,19,13.2,16.6,10.3,0,1.35,NA,NA,18.3,37.7,65.48,NA,NA,NA,2.65,43,32481,1.3238508666605093
2012-01-06,2.4,229.9,61.7,1017,86.6,14,15.8,11.8,0,1.57,NA,NA,28.39,43.43,85.52,NA,NA,NA,2.13,12,9436,1.271725307333616
2012-01-07,1.6,289.2,49.3,1023.1,107.9,11.7,14.7,8.8,0,1.39,NA,NA,40.57,46.43,107,NA,NA,NA,1.7,10,8297,1.2052549114137638
2012-01-08,2,278,59.2,1021.5,105.1,11.6,15,9.4,0,1.37,NA,NA,16.96,30.87,54.7,NA,NA,NA,1,22,18293,1.2026458208057726
2012-01-09,1.2,194.6,62,1023.5,103.1,11.4,14.8,8.5,0,1.21,NA,NA,34.52,42.43,94.39,NA,NA,NA,1.61,73,36375,2.006872852233677
2012-01-10,1.4,215.5,66.6,1026.1,103,11,14,8.3,0,1.38,NA,NA,119.09,59.83,241.65,NA,NA,NA,6.78,79,46610,1.694915254237288
2012-01-11,1,139.6,72,1027.8,84.7,11.2,13.7,8.8,0,1.37,NA,NA,110.48,58.65,226.61,NA,NA,NA,6.39,51,33099,1.5408320493066257
2012-01-12,1.7,272.9,69.5,1026.2,96.4,11.3,14.5,8.5,0,2.73,NA,NA,102.91,60.39,217.61,NA,NA,NA,4,64,43332,1.4769685221083726
2012-01-13,1.1,237.7,50.1,1020.5,111.8,10.3,15.5,7.3,0,2.51,NA,NA,22.73,37.4,71.47,NA,NA,NA,1.07,57,37603,1.5158365024067229
2012-01-14,1,158,64.8,1015.6,71,9.2,12.2,6.4,0,2.09,NA,NA,29.7,35.74,80.61,NA,NA,NA,1.35,16,16022,0.9986268880289602
2012-01-15,1.2,70.1,70,1013.2,68.8,9.7,11.4,8.6,0,1.45,NA,NA,22.13,39.04,72.57,NA,NA,NA,1.43,13,12215,1.0642652476463363
2012-01-16,2.2,45.2,69.5,1011.7,47.4,10.4,11.8,8.6,0.2,1.09,NA,NA,73.09,58.48,169.96,NA,NA,NA,4.26,87,55349,1.5718441164248675
2012-01-17,2.1,97.8,68.3,1022.6,118.3,12,14.2,10.3,0.2,1.4,NA,NA,74.57,55.09,168.3,NA,NA,NA,4.22,77,51770,1.4873478848754105
2012-01-18,1.6,231,61.2,1028.4,111.4,10.6,12.9,8.3,0,1.12,NA,NA,82.87,47,173.52,NA,NA,NA,4.83,75,47008,1.5954731109598366
2012-01-19,2.3,279.4,57.1,1029.9,110.5,11.2,14.8,7.9,0,2.62,NA,NA,68.61,50.57,154.43,NA,NA,NA,2.91,67,39818,1.6826560851876036
2012-01-20,1.4,217,60.4,1024.1,110,12.7,16.4,9.9,0,1.46,NA,NA,59.39,52.35,141.7,NA,NA,NA,2.91,69,39185,1.7608778869465356
2012-01-21,1.3,211.8,57.2,1021.1,115.6,12.9,15.8,10,0,1.24,NA,NA,32.95,43.05,93.05,NA,NA,NA,1.59,31,22214,1.395516341046187
2012-01-22,1.5,220.2,62.8,1016.5,119.6,13.3,17.4,10.6,0,1.44,NA,NA,20.26,30,59.13,NA,NA,NA,1.13,6,2492,2.407704654895666
2012-01-23,1,193.3,61.5,1013.5,110.2,13.2,15.9,10.9,0,1.88,NA,NA,30.65,41.95,87.75,NA,NA,NA,1.45,88,49241,1.7871286123352492
2012-01-24,1.4,212.2,65.2,1017.5,102.4,12.2,14.8,10.5,0,1,NA,NA,61.91,50.7,145.09,NA,NA,NA,5.96,93,54566,1.7043580251438624
2012-01-25,1.3,251.2,62.9,1015.5,123.3,12,15.8,9.1,0,1.21,NA,NA,93.78,60.87,203.3,NA,NA,NA,6.78,57,30998,1.838828311503968
2012-01-26,1.1,114.6,69.4,1013.8,110.8,11.3,13.8,7.9,0,1.03,NA,NA,101.78,67.61,222.48,NA,NA,NA,8.57,66,42956,1.5364559083713567
2012-01-27,1.5,56.2,64.7,1017.3,55.9,11.8,13,10.7,0,1.03,NA,NA,143.04,71.13,289.57,NA,NA,NA,9.22,78,45693,1.7070448427549076
2012-01-28,1.3,148.9,76.3,1018.6,16.8,9.7,10.9,8.1,3,1.13,NA,NA,38.09,51.65,108.65,NA,NA,NA,3.74,32,22548,1.419194607060493
2012-01-29,1.6,199.1,58.6,1013.8,93,8.3,10.3,6.3,0,1,NA,NA,31.13,43.43,90.7,NA,NA,NA,3.39,8,7294,1.0967918837400603
2012-01-30,1.5,271.7,40,1017.1,137.1,8.9,12.3,5.7,0,1,NA,NA,58.13,54.48,143,NA,NA,NA,5.3,82,44433,1.8454752098665406
2012-01-31,2.2,256,45.9,1013.2,72.8,9.1,12.1,6.6,0,1.03,NA,NA,73.74,60.83,171.13,NA,NA,NA,7.61,111,64186,1.7293490792384634
2012-02-01,1.6,105.4,78.8,1008.7,15.4,7.3,8.5,4.6,8,1.1,NA,NA,109.3,65.7,232.26,NA,NA,NA,6.91,62,38005,1.6313642941718194
2012-02-02,1.7,168.7,75.8,1008,36.7,3.8,5.2,2.2,2.9,1,NA,NA,10.7,44.83,60.35,NA,NA,NA,3.26,82,52129,1.5730207753841432
2012-02-03,2.2,270.7,46,1013.5,134.7,3.3,5.7,1.2,0,1,NA,NA,20.17,43.61,72.83,NA,NA,NA,3.87,72,43216,1.6660496112550909
2012-02-04,3,257.2,22.9,1018.6,152.8,3.5,7.6,0.7,0,1,NA,NA,9.52,36.22,49.74,NA,NA,NA,3.22,17,14177,1.1991253438668266
2012-02-05,1.8,205.7,41.5,1018.7,60.8,4.1,7,1.7,0,1.03,NA,NA,16.22,52.3,76.57,NA,NA,NA,2.52,32,23295,1.3736853402017601
2012-02-06,1.8,203.7,40.5,1015.8,148.8,7.5,13.6,2.2,0,1.43,NA,NA,74.86,59.57,172.76,NA,NA,NA,5.05,106,48557,2.183001421010359
2012-02-07,2.5,230.9,16.7,1011,158.1,8.3,13.2,5.6,0,1.78,NA,NA,29.26,43.78,87.96,NA,NA,NA,4,121,64015,1.8901819885964226
2012-02-08,1.8,238.3,22.4,1017.6,111.5,5.6,8.6,3.1,0,2.1,NA,NA,18.35,50.04,76.39,NA,NA,NA,1.7,96,63291,1.5168033369673413
2012-02-09,2.3,295.3,35.2,1020.3,152.6,6.8,11.4,2.1,0,2,NA,NA,14.04,40.91,60.83,NA,NA,NA,1,81,49187,1.6467765873096551
2012-02-10,2,216.4,45.3,1014.6,146.5,8.2,11,5.3,0,1.16,NA,NA,41.17,50.17,111.57,NA,NA,NA,3,108,55378,1.950232944490592
2012-02-11,2.6,226.7,32.1,1014,163,6,9.2,2.8,0,1.87,NA,NA,13.74,38.04,57.26,NA,NA,NA,1.43,20,17819,1.1223974409338346
2012-02-12,1.6,185.8,46.1,1016.3,156,4.4,6,2.2,0.2,1.26,NA,NA,11.96,35.43,52.74,NA,NA,NA,2.17,3,3667,0.81810744477774755
2012-02-13,2.2,225.6,36.7,1017,159.7,6.1,9.8,1.8,0,2.28,NA,NA,68.83,63.04,168,NA,NA,NA,4.52,182,91416,1.9908987485779293
2012-02-14,1.5,208.5,50.6,1013.7,109,8.2,10.7,6,1.6,2.87,NA,NA,74,62.74,174.39,NA,NA,NA,3.65,118,64064,1.841908091908092
2012-02-15,2.2,229.6,47.5,1017.2,169.3,9.7,15,5.2,0,2.6,NA,NA,46.26,53.26,123.26,NA,NA,NA,3.7,85,53450,1.590271281571562
2012-02-16,2,187.8,51,1015.7,169.2,11.4,15.6,7.3,0,1.26,NA,NA,51.91,58.43,137.3,NA,NA,NA,4.57,85,56255,1.5109768020620389
2012-02-17,1.6,139.8,68.4,1019.7,95,11.2,12.6,10.1,0,2.38,NA,NA,43.22,56.91,120.26,NA,NA,NA,3.48,72,48883,1.4729046907923
2012-02-18,2.2,266.2,60.9,1017,165.9,10.8,13.9,8,0,1.7,NA,NA,32.91,45.61,95,NA,NA,NA,3.17,38,31917,1.1905880878528685
2012-02-19,1.1,77.7,71.1,1017,60.1,10.3,11.9,8.6,0,1.7,NA,NA,18.43,40.83,67.26,NA,NA,NA,1.74,26,22725,1.1441144114411441
2012-02-20,2,176.8,49.8,1020.1,174.2,10.2,12.1,7,0,1.52,NA,NA,34.57,49.7,100.91,NA,NA,NA,3.35,159,88857,1.7893919443600392
2012-02-21,1.4,151,48,1023.3,173.8,9,11.7,6.2,0,1.6,NA,NA,54.78,59.52,142,NA,NA,NA,4.7,113,64372,1.755421611880942
2012-02-22,1.3,175.9,40.1,1021.7,176.1,10.8,14.7,6.8,0,1.7,NA,NA,33.52,58.7,108.57,NA,NA,NA,4.09,116,68160,1.7018779342723005
2012-02-23,1.7,244,24.5,1021.6,183.5,14.1,19.4,9.2,0,1.57,NA,NA,37,60.74,115.35,NA,NA,NA,3.7,114,67082,1.6994126591335976
2012-02-24,1.1,140.5,52.1,1022.3,171,13.3,16,10.9,0,3.15,NA,NA,68.29,82,186.48,NA,NA,NA,5.35,61,40795,1.495281284471136
2012-02-25,1.1,176.4,59.6,1017.6,166.3,12.6,14.8,8.9,0,4.03,NA,NA,47.65,81.65,153.43,NA,NA,NA,4.13,20,13308,1.5028554253080855
2012-02-26,1.2,136.4,61.9,1012.8,177.7,14.1,17.5,10.6,0,1.85,NA,NA,23,65.65,99.52,NA,NA,NA,4.96,30,23109,1.2981955082435415
2012-02-27,2.3,236.6,70.5,1018.5,140.7,13.4,15.4,11.8,0,2.15,NA,NA,49.17,57.65,131.74,NA,NA,NA,3.26,118,70797,1.6667372911281553
2012-02-28,1.4,158.8,74.9,1019.6,162.3,12.2,13.9,9.8,0,2.45,NA,NA,46.04,56.26,125.61,NA,NA,NA,3,89,61813,1.4398265736980895
2012-02-29,1.2,180.5,72,1017.9,185.5,12.9,16.2,9.6,0,3.19,NA,NA,51.13,71.52,148.39,NA,NA,NA,2.7,74,57599,1.2847445268147017
2012-03-01,1.2,207.4,69.7,1019,184.9,13.2,17.5,9.8,0,2.8,NA,NA,58.04,78.48,166.48,NA,NA,NA,4.09,76,54112,1.4044943820224718
2012-03-02,2,245.1,69,1021.5,198,12.9,16.5,9.7,0,2.13,NA,NA,18.48,41.22,67.96,NA,NA,NA,1.48,71,48752,1.4563505086970792
2012-03-03,1.9,208.5,72.9,1021,173.8,13.3,14.9,11.5,0,2.42,NA,NA,20,59.3,89.61,NA,NA,NA,1.22,21,16052,1.3082481933715424
2012-03-04,1.5,196.8,61.4,1017,129.1,14.5,18,11.3,0,1.77,NA,NA,9,30.83,42.96,NA,NA,NA,1,1,699,1.4306151645207439
2012-03-05,3,191.4,52.2,1018.1,208.7,12.9,16.2,10.5,0,1.07,NA,NA,8.87,32.91,45.48,NA,NA,NA,1.48,102,54318,1.8778305534077102
2012-03-06,2.1,190.3,38.9,1017.5,176.8,11.4,14.2,8.5,0,2.73,NA,NA,25.83,52.39,90.35,NA,NA,NA,1.13,72,47440,1.5177065767284992
2012-03-07,2.1,230.7,45.7,1021.3,202.5,11.9,14.7,8.8,0,1.2,NA,NA,42.04,57.48,120.83,NA,NA,NA,2.74,47,30358,1.5481915804730217
2012-03-08,1.9,186.9,51,1018.9,207,12.3,15.6,9.3,0,1.44,NA,NA,46.19,62.57,132.86,NA,NA,NA,6.8,52,38297,1.3578087056427397
2012-03-09,1.9,113.4,40.8,1025.1,208.8,12.6,15.5,8.5,0,1,NA,NA,43.65,55.78,121.74,NA,NA,NA,12.61,63,37741,1.6692721443522958
2012-03-10,1.7,166,47.4,1025.2,207.7,12.9,17.5,8.7,0,1,NA,NA,18.96,49.91,78.39,NA,NA,NA,12.26,9,7765,1.1590470057952351
2012-03-11,1.3,135.6,58.4,1019.5,212.9,13.8,18.6,9.8,0,1,NA,NA,13.22,42,60.74,NA,NA,NA,11.78,9,7942,1.1332158146562579
2012-03-12,1.8,213.7,50.7,1019.5,212.4,15,19.3,10.8,0,1.67,NA,NA,25.87,52.57,91.87,NA,NA,NA,6.82,71,51644,1.374796684997289
2012-03-13,1.1,161.2,61.1,1019.9,218,14.4,18.8,11.3,0,4.77,NA,NA,48.04,76.35,147.57,NA,NA,NA,1.74,97,60057,1.615132290990226
2012-03-14,1,134.9,69.7,1021.5,218.6,14.1,18.7,11.4,0,3.53,NA,NA,49.52,85.09,160.48,NA,NA,NA,3.35,56,41736,1.3417672992141076
2012-03-15,1.5,134.2,84.3,1023.8,208.4,11.3,12.6,9,0,4.7,NA,NA,50.91,94.26,171.78,NA,NA,NA,3.7,45,35010,1.2853470437017993
2012-03-16,1.5,114.3,71.9,1022,227.9,13,15.6,9.7,0,4.32,NA,NA,47.48,71.57,142.91,NA,NA,NA,1.3,60,41802,1.4353380221042056
2012-03-17,1.8,173.9,68.2,1018,226.6,13.8,16.6,11,0,3.51,NA,NA,28.74,59.83,100.83,NA,NA,NA,1.61,26,18433,1.410513752509087
2012-03-18,2.4,216.5,53.9,1016.7,235.8,15.5,20.7,11.9,0,2.92,NA,NA,5.3,22.83,29.39,NA,NA,NA,1,11,9582,1.147985806720935
2012-03-19,2.1,202.5,56,1023.8,225.5,12.3,13.8,10.7,0,3.25,NA,NA,9.61,31.26,44.78,NA,NA,NA,1,71,47051,1.5090008713948695
2012-03-20,3.8,53.7,53.9,1023.7,184,12.1,15.4,9.4,0,2.04,NA,NA,13.57,36.23,56.62,NA,NA,NA,1,80,48222,1.6589938202480197
2012-03-21,4.4,77,83.6,1019.4,15.2,13,13.5,12.1,21.5,1.8,NA,NA,15.35,44.52,66.78,NA,NA,NA,1.22,60,42807,1.4016399187048847
2012-03-22,1.7,193.8,79.5,1018.9,135.7,12.5,15.1,10.6,10.3,1.08,NA,NA,24.7,52.87,89.48,NA,NA,NA,2.39,43,26502,1.6225190551656479
2012-03-23,1.4,140,71.8,1019.6,238.7,13.1,15.3,9.9,0,1.11,NA,NA,32.7,55.52,105,NA,NA,NA,2.87,61,38239,1.5952300007845392
2012-03-24,1.1,123.8,65.7,1019.3,242.7,14.1,16.4,10.5,0,1.2,NA,NA,26.09,45.57,84.09,NA,NA,NA,1.96,23,15373,1.4961295778312627
2012-03-25,1.3,206.2,56.4,1019.8,245.7,16.6,21.4,12.2,0,1.05,NA,NA,9.57,32.76,46.43,NA,NA,NA,1.19,15,14606,1.0269752156647953
2012-03-26,1.8,91.7,60.8,1021.5,231.2,15.3,16.5,13.3,0,1.8,NA,NA,29.57,62.1,105.62,NA,NA,NA,2.35,76,47878,1.587367893395714
2012-03-27,1.2,92.5,46.6,1022.1,234.6,16.6,19.1,13.7,0,2.57,NA,NA,31.83,57.43,103.96,NA,NA,NA,1.61,73,37212,1.961732774373858
2012-03-28,1.1,162.8,48,1020.3,249.4,17,21,13.5,0,2.54,NA,NA,41.3,68.65,130.57,NA,NA,NA,1.96,44,30083,1.4626200844330686
2012-03-29,1.3,170,52.5,1015.7,250.9,16.5,20.7,12.5,0,1.7,NA,NA,15.04,47.48,68.78,NA,NA,NA,1.3,39,30138,1.294047382042604
2012-03-30,1.7,185.1,45.9,1009.1,252,18.9,24.7,14.2,0,2.28,NA,NA,35,66.09,118.87,NA,NA,NA,1.7,42,28948,1.4508774354014096
2012-03-31,1.4,118.1,62.5,1006,253.3,16.9,19.4,14.3,0,2.15,NA,NA,31.7,65.52,112.52,NA,NA,NA,3.61,15,10805,1.3882461823229986
2012-04-01,1.3,160.8,56.7,1004.1,255.6,17.3,20.8,14.7,0,1.94,NA,NA,9.64,47.27,61.36,NA,NA,NA,2.05,7,4912,1.4250814332247557
2012-04-02,1.6,106.3,71.2,1004.3,234.2,15.3,17.9,13.8,0,3.34,NA,NA,29.48,51.38,94.85,NA,NA,NA,1.86,87,56301,1.5452656258325785
2012-04-03,1.7,71.1,85.3,1002.6,81.6,14.5,15.9,13.5,8.7,3.87,NA,NA,35.87,65.48,119.65,NA,NA,NA,2.17,74,48662,1.5206937651555628
2012-04-04,2,87.9,86,1002.5,60.5,13.4,14.5,12,40.1,1.02,NA,NA,24.87,57.78,95.13,NA,NA,NA,2.17,27,17738,1.5221558236554291
2012-04-05,2,68.7,76.5,1004.1,88,13.6,14.6,12.4,4.5,1.03,NA,NA,29.3,51.78,95.78,NA,NA,NA,1.57,41,27371,1.4979357714369224
2012-04-06,2.1,164.5,73.7,1004.1,168.3,14,17,11.6,2.1,1,NA,NA,15.17,23.87,44.87,NA,NA,NA,1.39,6,3366,1.7825311942959001
2012-04-07,3,260,48.5,1004.5,260.5,13.9,17.9,10.4,0,1,NA,NA,5.83,19.61,27.22,NA,NA,NA,1.04,24,22051,1.088386014239717
2012-04-08,2.8,165.5,59.4,1007.8,278.3,14.8,19.1,11.9,0,1,NA,NA,2.7,16.39,18,NA,NA,NA,1.04,6,3911,1.534134492457172
2012-04-09,1.6,179.8,66.1,1008.3,171,14.5,16,13.2,0,1,NA,NA,9.17,30.7,41.65,NA,NA,NA,1.43,11,11046,0.995835596596053
2012-04-10,2.2,194.5,72.1,999.7,141.4,14.5,17.3,12.4,0.7,1.21,NA,NA,62.7,57.26,152,NA,NA,NA,3.26,54,33794,1.5979167899627154
2012-04-11,2.8,293.3,45.7,1002.5,278.3,15.5,20.5,10.7,0,1,NA,NA,11.13,27.22,41.61,NA,NA,NA,1.04,29,18619,1.5575487405338633
2012-04-12,1.8,161.5,62.7,999.9,84.8,14.6,15.9,13.9,0.3,1.1,NA,NA,45.39,64.78,131.87,NA,NA,NA,2.57,48,36530,1.3139885026006022
2012-04-13,2.3,192.2,63.7,998.4,200.9,14.1,17.2,12.2,0.1,1,NA,NA,9.61,33.17,46.39,NA,NA,NA,1,43,29505,1.457380105066938
2012-04-14,3.2,253,53.9,996.8,210.6,13.1,16.9,9.9,5.1,1,NA,NA,8.52,26.57,37.26,NA,NA,NA,1.09,9,9129,0.9858692080184029
2012-04-15,2.5,237.2,55.7,999.6,187.2,12.8,16.3,9.9,0.4,1,NA,NA,5.13,20.52,26,NA,NA,NA,1.35,6,3368,1.7814726840855108
2012-04-16,2.6,253.2,42.8,1006.6,216.1,13.8,18,11.6,0,1,NA,NA,7,29.35,38.78,NA,NA,NA,1.17,53,30507,1.7373061920215032
2012-04-17,3,234.4,40.6,1008.4,303.9,12.9,16.4,9.5,0,1,NA,NA,6.52,23.61,31.39,NA,NA,NA,1.13,55,44212,1.2440061521758798
2012-04-18,2,126.5,67.5,999.7,117,13.2,15.3,11.8,0.2,1.8,NA,NA,34.26,50.78,100.87,NA,NA,NA,2.17,49,28967,1.6915800738771705
2012-04-19,3.4,224.2,54.8,994.8,197.2,15.1,19.9,12,0,1,NA,NA,3.74,16.65,21,NA,NA,NA,1.39,44,29769,1.478047633444187
2012-04-20,3.4,243.4,48.8,1001.3,275.3,16.1,20.5,11.7,0,1,NA,NA,12.87,36.35,54.04,NA,NA,NA,1.52,35,24553,1.4254877204414937
2012-04-21,2.3,132.1,61.8,1007.1,268.5,16.5,19.7,13.8,1.1,1.27,NA,NA,15.83,38.04,61.17,NA,NA,NA,1.52,9,7895,1.1399620012666245
2012-04-22,2.3,123.2,71.5,1011.2,136.8,14,14.8,13.4,0.1,1.13,NA,NA,4.96,17.78,21.7,NA,NA,NA,1,2,3154,0.6341154090044389
2012-04-23,2.6,201.5,72.5,1006.6,207.6,15.3,17.7,13.2,0,1.08,NA,NA,12.48,25.39,42.3,NA,NA,NA,2.61,54,32156,1.6793133474312725
2012-04-24,3.1,189.7,49,1005.6,281.9,15.1,20.2,12.4,0,1,NA,NA,4.8,22.95,28.85,NA,NA,NA,1.21,49,23770,2.0614219604543544
2012-04-25,2.5,200.9,76,1005.3,186,15.2,17.9,12.5,0,1.42,NA,NA,39.74,42,101.91,NA,NA,NA,2.96,54,32447,1.6642524732640922
2012-04-26,1.8,95.4,76.1,1006,297.5,16.8,18.9,14.4,0,1.13,NA,NA,13.43,49.87,68.96,NA,NA,NA,3.22,51,30431,1.675922578949098
2012-04-27,2.6,64.5,74,1007,113.2,17.1,18.3,16,0,1.6,NA,NA,38.26,78,135.22,NA,NA,NA,3.78,71,41938,1.6929753445562497
2012-04-28,3.9,109.1,79.1,1001.8,124.8,17,18.5,14.5,8.9,1.25,NA,NA,7.83,37.87,48.52,NA,NA,NA,2.78,9,8978,1.0024504343951883
2012-04-29,2.4,188.6,61.8,1007.8,319.8,15.8,18.7,13.1,0,1,NA,NA,5,18.43,24.35,NA,NA,NA,1.96,5,5731,0.8724480893386843
2012-04-30,3.3,211.4,65.8,1007.8,264.5,15.1,17.6,12.8,10,1.28,NA,NA,4.96,23.96,30.09,NA,NA,NA,1.26,45,35089,1.2824531904585483
2012-05-01,1.7,139.3,66.1,1012,323.8,15.4,18,12,0,1,NA,NA,5.22,23.09,28.22,NA,NA,NA,1.7,5,3745,1.335113484646195
2012-05-02,2.4,222.8,65,1012.7,326.8,16.4,21.1,12.8,0,1.17,NA,NA,25,35.91,71.27,NA,NA,NA,1.75,80,42460,1.8841262364578428
2012-05-03,2.8,238.4,67.6,1009.1,325.2,16.4,19.6,13.4,0,1.2,NA,NA,11.48,26.83,42.87,NA,NA,NA,1.74,42,28042,1.4977533699450822
2012-05-04,2.1,231.9,71.3,1004.4,219.7,17,19.9,14.4,0,1.55,NA,NA,23.17,48,82.26,NA,NA,NA,2.87,54,32812,1.6457393636474462
2012-05-05,2.6,220.5,59.1,1004,318.3,18.6,23.1,14.8,0,1.36,NA,NA,14.52,23.22,44.78,NA,NA,NA,2.48,8,8421,0.9500059375371096
2012-05-06,2.1,133.8,67.3,1008.9,270.8,16.5,18,15.1,0,1.27,NA,NA,5.3,23.57,30.57,NA,NA,NA,1.13,10,7398,1.3517166801838334
2012-05-07,1.9,186.4,64.2,1014.1,309,17.7,20.3,14.3,0.2,1.36,NA,NA,16.83,30.22,54.74,NA,NA,NA,1.52,88,49085,1.7928083936029338
2012-05-08,2.6,229.5,67.5,1012.2,247.8,19.3,23.7,15.5,0,1.56,NA,NA,18.65,38.83,65.83,NA,NA,NA,3.09,86,48490,1.7735615590843472
2012-05-09,1.9,96.1,80.7,1015.4,282.1,17.4,19.7,15.9,0,2.05,NA,NA,26.65,61.78,101.35,NA,NA,NA,5.3,47,33668,1.3959843174527742
2012-05-10,1.4,186.1,52.7,1019,325.9,20.9,24.5,16.9,0,1.78,NA,NA,27.43,49.26,89.57,NA,NA,NA,3.65,53,30595,1.732309200849812
2012-05-11,2.1,217.3,41.9,1020.2,329.8,22.9,26.8,18.2,0,2.02,NA,NA,22.32,37.36,69.36,NA,NA,NA,2.62,41,28227,1.452510008148227
2012-05-12,1.9,183.8,56.5,1018.8,294.6,22.2,27,19.7,0,2.15,NA,NA,11.48,50.09,66.91,NA,NA,NA,3.39,3,3252,0.9225092250922509
2012-05-13,2,112.8,71.5,1015.1,277.4,19.7,22.3,18,0.2,2.73,NA,NA,6.52,28.17,35.78,NA,NA,NA,1.57,8,7577,1.055826844397519
2012-05-14,2.8,226.4,57.9,1012.1,331.5,19.9,21.7,18.3,0,1.66,NA,NA,8.52,25.87,37.09,NA,NA,NA,1.74,46,25423,1.8093852023758015
2012-05-15,2.5,162.4,63.8,1012.7,324.3,19.2,22.3,17.3,0,1.98,NA,NA,8.09,31.52,42.04,NA,NA,NA,1.96,60,38909,1.5420596777095272
2012-05-16,2.5,198.6,63.8,1017,191.9,17.1,18.6,15.8,0.6,1.63,NA,NA,6.22,20.52,28.65,NA,NA,NA,2.43,44,36630,1.2012012012012012
2012-05-17,2,236,71.7,1012.5,156,17.2,20.1,15.3,0,1.84,NA,NA,15.96,42.74,66.13,NA,NA,NA,1.39,63,36705,1.71638741315897
