date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10,so2
2011-09-17,2.24,183.257142857143,75.2571428571429,984.922857142857,204.057142857143,24,27.1,19.9,0,NA,NA,NA,7.29,20.79,32.25,42.67,31.62,1.13
2011-09-18,1.82916666666667,236.708333333333,67.2708333333333,981.864583333334,106.4375,20.0895833333333,25.1,13.9,0.3,NA,NA,NA,2.15,18.05,21.55,33.8,24.6,1
2011-09-19,2.85,254.541666666667,55.4166666666667,987.552083333334,249.916666666667,17.66875,25.5,13.2,0,NA,NA,NA,12.43,32.48,51.74,40.13,23.52,1
2011-09-20,2.0875,216.645833333333,67.4166666666667,990.795833333333,169.104166666667,18.8,24,14.5,0,NA,NA,NA,11.46,33.92,51.58,45.21,32,1.22
2011-09-21,1.65208333333333,219.270833333333,72.3333333333333,989.7875,235.458333333333,20.9979166666667,27.8,15.1,0,NA,NA,NA,19.58,35.83,65.79,43.25,41.92,1.65
2011-09-22,1.7625,222.708333333333,73.4166666666667,988.608333333333,232.395833333333,22.1833333333333,28.4,17.3,0,NA,NA,NA,23.23,41.86,77.77,27.5,40.08,2.1
2011-09-23,1.76041666666667,206.9375,76.9375,986.2,176.5625,21.46875,27.3,18,0,NA,NA,NA,27.96,36.75,79.17,37.54,35.58,1
2011-09-24,1.18541666666667,193.791666666667,85.8125,985.475,90.5833333333333,19.0979166666667,21.6,15.7,10.3,NA,NA,NA,6.04,32.12,41.38,40.83,22.58,1
2011-09-25,1.62083333333333,198.229166666667,74.5208333333333,989.55,231.0625,19.3520833333333,26,15,0,NA,NA,NA,3.75,17.88,23.67,48.96,18.42,1
2011-09-26,1.48958333333333,195.666666666667,66.3958333333333,993.297916666667,225.3125,20.5041666666667,27.3,15.8,0,NA,NA,NA,23.42,39.62,75.92,39.29,34.67,1
2011-09-27,1.44583333333333,201,61.25,994.84375,225.9375,21.91875,28.6,17,0,NA,NA,NA,23.17,50.04,87.88,46.75,41.04,1.17
2011-09-28,1.51875,197.416666666667,60.5625,994.2125,222.166666666667,20.9458333333333,27.4,16.1,0,NA,NA,NA,26.76,61.29,101.29,42.5,46.21,1.2
2011-09-29,1.85625,165.125,66.2708333333333,994.00625,214.5625,20.5958333333333,28.2,15.4,0,NA,NA,NA,12.55,55.85,75.1,45,56.33,3.36
2011-09-30,1.41621621621622,222.27027027027,71.4791666666667,993.941666666667,82.6388888888889,19.7458333333333,25.7,14.1,0,NA,NA,NA,23.33,45.75,81.62,54.83,60.25,2.22
2011-10-01,1.56666666666667,208.895833333333,77.5833333333333,994.108333333333,203,19.575,24.8,15.1,0,NA,NA,NA,10.46,37.25,55.92,54.42,47.08,1.48
2011-10-02,1.42708333333333,244.895833333333,69.7708333333333,994.052083333333,227,20.5666666666667,28,14.3,0,NA,NA,NA,7.58,30.83,42.54,52.92,42.08,1.3
2011-10-03,1.61458333333333,215.833333333333,45.9583333333333,993.375,217.166666666667,22.6041666666667,30.6,17.9,0,41,14836,2.76354812617956,20.38,56.29,87.88,46.38,50.54,2.26
2011-10-04,1.74583333333333,237.604166666667,42.75,993.541666666666,214.208333333333,23.0354166666667,29.7,17.1,0,37,16297,2.27035650733264,23.12,59.46,95.12,55,62.23,5.48
2011-10-05,1.39166666666667,223.895833333333,54.1041666666667,992.10625,213.0625,22.53125,30.5,16.4,0,28,11285,2.48116969428445,24.08,56.71,92.62,52.33,63.39,2.52
2011-10-06,1.60208333333333,219.458333333333,78.8125,990.116666666667,198.75,20.43125,27.4,15.1,0,26,10066,2.58295251341148,19.92,42.17,77.88,59.62,47.96,1.3
2011-10-07,2.37872340425532,223.574468085106,69.4583333333333,987.747916666667,102.25,18.5041666666667,22.8,15.1,0,26,9026,2.88056725016619,14.71,33.75,58.33,37.42,45.33,1.04
2011-10-08,1.675,285.041666666667,50.1458333333333,990.154166666667,203.583333333333,17.0895833333333,23.6,12.4,0,5,2074,2.41080038572806,3.79,25.67,31.5,42.54,31.21,1.09
