date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,c6h6,co,no,no2,nox,o3,so2
2011-09-17,3.10571428571429,230.428571428571,74.8857142857143,NA,275.657142857143,25.1114285714286,28.3,20.3,0,NA,NA,NA,NA,0.2,3,12.17,NA,46.12,2.96
2011-09-18,2.26666666666667,188.25,86.2083333333333,NA,80.1041666666667,20.1583333333333,24.2,16.2,11.6,NA,NA,NA,NA,0.2,2.55,11.77,NA,62.17,2.73
2011-09-19,3.3,236.041666666667,57.0208333333333,NA,240.354166666667,19.0145833333333,25.2,14.8,0,NA,NA,NA,NA,0.2,2.62,7.71,NA,68.83,2.54
2011-09-20,2.78125,270.416666666667,68.2083333333333,NA,225.645833333333,19.94375,24.6,16,0,NA,NA,NA,NA,0.24,6.67,13.12,NA,63.5,3.12
2011-09-21,3.2125,264.479166666667,77.2083333333333,NA,232.708333333333,20.7375,26.2,15.2,0,NA,NA,NA,NA,0.25,5.71,14.88,NA,52.58,3.12
2011-09-22,2.62083333333333,261.708333333333,80.375,NA,222.208333333333,21.71875,26.7,17.6,0,NA,NA,NA,NA,0.24,7,11.92,NA,55.71,3.25
2011-09-23,2.8375,263.875,80.7083333333333,NA,214.625,21.6833333333333,26.7,17.2,0,NA,NA,NA,NA,0.22,2.75,12.54,NA,56.83,3.08
2011-09-24,1.64583333333333,221.979166666667,84.2291666666667,NA,55.0625,20.3083333333333,23,17.8,7.1,NA,NA,NA,NA,0.2,1.75,5.12,NA,73.42,3
2011-09-25,2.2,237.5,77.625,NA,221.854166666667,20.2541666666667,25.2,16.2,0,NA,NA,NA,NA,0.25,7.79,20.5,NA,50.92,3.29
2011-09-26,2.13333333333333,237.604166666667,75.7916666666667,NA,212.208333333333,21.0083333333333,26.7,16.6,0,NA,NA,NA,NA,0.3,10.96,25.17,NA,68,3.33
2011-09-27,2.36041666666667,243.916666666667,69.3958333333333,NA,215.0625,22.0145833333333,28.6,17,0,NA,NA,NA,NA,0.24,5.24,23.48,NA,79.52,3.33
2011-09-28,2.47291666666667,234.833333333333,66,NA,210.875,21.4520833333333,27.3,17,0,NA,NA,NA,NA,0.24,5.04,22.08,NA,92.48,3.48
